mcc,mnc,lac,cell_id,psc,asu,dbm,ta,lat,lon,accuracy,speed,bearing,altitude,measured_at,net_type,neighboring
272,2,401,47720,,10,-93,,53.5781675,-6.21052355,15.01,27.37,2.1,112.59,2019-03-18T08:19:05.203Z,GSM,FALSE
272,2,401,47305,,8,-97,,53.5781675,-6.21052355,15.01,27.37,2.1,112.59,2019-03-18T08:19:05.203Z,GSM,TRUE
272,2,401,47721,,5,-103,,53.5781675,-6.21052355,15.01,27.37,2.1,112.59,2019-03-18T08:19:05.203Z,GSM,TRUE
272,2,401,48090,,10,-93,,53.5781675,-6.21052355,15.01,27.37,2.1,112.59,2019-03-18T08:19:05.203Z,GSM,TRUE
272,2,401,47728,,5,-103,,53.5781675,-6.21052355,15.01,27.37,2.1,112.59,2019-03-18T08:19:05.203Z,GSM,TRUE
272,2,401,47720,,10,-93,,53.57879568,-6.21082708,13.94,25.99,0.3,94.8,2019-03-18T08:19:08.169Z,GSM,FALSE
272,2,401,47305,,8,-97,,53.57879568,-6.21082708,13.94,25.99,0.3,94.8,2019-03-18T08:19:08.169Z,GSM,TRUE
272,2,401,47721,,5,-103,,53.57879568,-6.21082708,13.94,25.99,0.3,94.8,2019-03-18T08:19:08.169Z,GSM,TRUE
272,2,401,48090,,10,-93,,53.57879568,-6.21082708,13.94,25.99,0.3,94.8,2019-03-18T08:19:08.169Z,GSM,TRUE
272,2,401,47728,,5,-103,,53.57879568,-6.21082708,13.94,25.99,0.3,94.8,2019-03-18T08:19:08.169Z,GSM,TRUE
272,2,401,47720,,8,-97,,53.57956985,-6.21068239,19.3,26.24,356.3,113.7,2019-03-18T08:19:11.173Z,GSM,FALSE
272,2,401,47305,,7,-99,,53.57956985,-6.21068239,19.3,26.24,356.3,113.7,2019-03-18T08:19:11.173Z,GSM,TRUE
272,2,401,47720,,8,-97,,53.58015749,-6.21064353,7.5,27.53,358.6,100.24,2019-03-18T08:19:13.569Z,GSM,FALSE
272,2,401,47305,,7,-99,,53.58015749,-6.21064353,7.5,27.53,358.6,100.24,2019-03-18T08:19:13.569Z,GSM,TRUE
272,2,401,47720,,8,-97,,53.5806415,-6.21070019,4.29,27.56,358.1,96.8,2019-03-18T08:19:15.554Z,GSM,FALSE
272,2,401,47305,,7,-99,,53.5806415,-6.21070019,4.29,27.56,358.1,96.8,2019-03-18T08:19:15.554Z,GSM,TRUE
272,2,401,47720,,8,-97,,53.58112813,-6.21073292,4.29,27.56,357.1,96.69,2019-03-18T08:19:17.550Z,GSM,FALSE
272,2,401,47305,,7,-99,,53.58112813,-6.21073292,4.29,27.56,357.1,96.69,2019-03-18T08:19:17.550Z,GSM,TRUE
272,2,401,47720,,12,-89,,53.58162296,-6.21080058,3.22,27.55,356.1,96.67,2019-03-18T08:19:19.552Z,GSM,FALSE
272,2,401,47305,,9,-95,,53.58162296,-6.21080058,3.22,27.55,356.1,96.67,2019-03-18T08:19:19.552Z,GSM,TRUE
272,2,401,48090,,7,-99,,53.58162296,-6.21080058,3.22,27.55,356.1,96.67,2019-03-18T08:19:19.552Z,GSM,TRUE
272,2,401,47306,,3,-107,,53.58162296,-6.21080058,3.22,27.55,356.1,96.67,2019-03-18T08:19:19.552Z,GSM,TRUE
272,2,401,47721,,3,-107,,53.58162296,-6.21080058,3.22,27.55,356.1,96.67,2019-03-18T08:19:19.552Z,GSM,TRUE
272,2,401,47720,,12,-89,,53.58211882,-6.21086818,3.22,27.57,355.4,97.34,2019-03-18T08:19:21.574Z,GSM,FALSE
272,2,401,47305,,9,-95,,53.58211882,-6.21086818,3.22,27.57,355.4,97.34,2019-03-18T08:19:21.574Z,GSM,TRUE
272,2,401,48090,,7,-99,,53.58211882,-6.21086818,3.22,27.57,355.4,97.34,2019-03-18T08:19:21.574Z,GSM,TRUE
272,2,401,47306,,3,-107,,53.58211882,-6.21086818,3.22,27.57,355.4,97.34,2019-03-18T08:19:21.574Z,GSM,TRUE
272,2,401,47721,,3,-107,,53.58211882,-6.21086818,3.22,27.57,355.4,97.34,2019-03-18T08:19:21.574Z,GSM,TRUE
272,2,401,47720,,12,-89,,53.58262699,-6.21094911,4.29,27.69,354.5,98.14,2019-03-18T08:19:23.559Z,GSM,FALSE
272,2,401,47305,,9,-95,,53.58262699,-6.21094911,4.29,27.69,354.5,98.14,2019-03-18T08:19:23.559Z,GSM,TRUE
272,2,401,48090,,7,-99,,53.58262699,-6.21094911,4.29,27.69,354.5,98.14,2019-03-18T08:19:23.559Z,GSM,TRUE
272,2,401,47306,,3,-107,,53.58262699,-6.21094911,4.29,27.69,354.5,98.14,2019-03-18T08:19:23.559Z,GSM,TRUE
272,2,401,47721,,3,-107,,53.58262699,-6.21094911,4.29,27.69,354.5,98.14,2019-03-18T08:19:23.559Z,GSM,TRUE
272,2,401,47720,,12,-89,,53.58312165,-6.21105712,3.22,27.59,353.5,97.53,2019-03-18T08:19:25.559Z,GSM,FALSE
272,2,401,47305,,9,-95,,53.58312165,-6.21105712,3.22,27.59,353.5,97.53,2019-03-18T08:19:25.559Z,GSM,TRUE
272,2,401,48090,,7,-99,,53.58312165,-6.21105712,3.22,27.59,353.5,97.53,2019-03-18T08:19:25.559Z,GSM,TRUE
272,2,401,47306,,3,-107,,53.58312165,-6.21105712,3.22,27.59,353.5,97.53,2019-03-18T08:19:25.559Z,GSM,TRUE
272,2,401,47721,,3,-107,,53.58312165,-6.21105712,3.22,27.59,353.5,97.53,2019-03-18T08:19:25.559Z,GSM,TRUE
272,2,401,47720,,12,-89,,53.58361139,-6.21116035,3.22,27.59,352.8,96.04,2019-03-18T08:19:27.554Z,GSM,FALSE
272,2,401,47305,,9,-95,,53.58361139,-6.21116035,3.22,27.59,352.8,96.04,2019-03-18T08:19:27.554Z,GSM,TRUE
272,2,401,48090,,7,-99,,53.58361139,-6.21116035,3.22,27.59,352.8,96.04,2019-03-18T08:19:27.554Z,GSM,TRUE
272,2,401,47306,,3,-107,,53.58361139,-6.21116035,3.22,27.59,352.8,96.04,2019-03-18T08:19:27.554Z,GSM,TRUE
272,2,401,47721,,3,-107,,53.58361139,-6.21116035,3.22,27.59,352.8,96.04,2019-03-18T08:19:27.554Z,GSM,TRUE
272,2,401,47720,,10,-93,,53.58409685,-6.2112704,3.22,27.57,351.9,95.27,2019-03-18T08:19:29.564Z,GSM,FALSE
272,2,401,47305,,11,-91,,53.58409685,-6.2112704,3.22,27.57,351.9,95.27,2019-03-18T08:19:29.564Z,GSM,TRUE
272,2,401,48090,,6,-101,,53.58409685,-6.2112704,3.22,27.57,351.9,95.27,2019-03-18T08:19:29.564Z,GSM,TRUE
272,2,401,47306,,8,-97,,53.58409685,-6.2112704,3.22,27.57,351.9,95.27,2019-03-18T08:19:29.564Z,GSM,TRUE
